"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000036, 1, 0.000036, learning_rate='1.5839636792271974',n_estimators='16'
0.117762, 0.834400, 0.119194, 1, 0.001431, learning_rate='1.5839636792271974',n_estimators='16'
2.745313, 0.833100, 3.439178, 2, 0.693864, learning_rate='0.21030007442658094',n_estimators='78'
2.883065, 0.829300, 3.579170, 3, 0.696105, learning_rate='0.2979327625937022',n_estimators='18'
3.445415, 0.820900, 4.145924, 4, 0.700510, learning_rate='0.3830157746816118',n_estimators='79'
4.672824, 0.804200, 6.514538, 5, 1.841714, learning_rate='0.2802475527804405',n_estimators='90'
6.685821, 0.792100, 8.905982, 6, 2.220161, learning_rate='0.27162444870585584',n_estimators='93'
8.714454, 0.781600, 11.662390, 7, 2.947936, learning_rate='0.2675225071751741',n_estimators='97'
10.763908, 0.744000, 14.587853, 8, 3.823945, learning_rate='0.7896736000898855',n_estimators='97'
12.074630, 0.710100, 16.273710, 9, 4.199080, learning_rate='2.4653108749213817',n_estimators='100'
14.553092, 0.704000, 20.087063, 10, 5.533971, learning_rate='2.4516131175956737',n_estimators='100'
